,model,year,distance,fuel,auto,efficiency,max_power,max_toque,method,insurance,is_genesis,price
95,현대 그랜저HG 하이브리드 2.4 HEV  프리미엄 컬렉션,6.0,218162.0,1.0,1.0,16.0,199.0,26.7,0.0,7.0,0.0,990.0
96,현대 그랜저IG 2.4 모던,5.0,35000.0,1.0,1.0,11.2,190.0,24.6,0.0,3.0,0.0,2100.0
98,현대 더 뉴 그랜저 3.0 LPi   고급형 VIP 패키지,3.0,141343.0,0.0,1.0,7.5,235.0,28.6,0.0,2.0,0.0,1750.0
99,현대 그랜저HG 220 디젤 프리미엄,8.0,187000.0,2.0,1.0,13.8,202.0,45.0,0.0,1.0,0.0,1150.0
101,현대 그랜저IG 3.0 LPi   모던,4.0,144721.0,0.0,1.0,7.6,235.0,28.6,0.0,0.0,0.0,1500.0
102,현대 그랜저IG 2.4 프리미엄 ,3.0,23600.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,2150.0
105,현대 그랜저IG  2.4 익스클루시브 스페셜,4.0,119000.0,1.0,1.0,11.0,190.0,24.6,0.0,0.0,0.0,1950.0
107,현대 그랜저IG  2.4 프리미엄   ,5.0,76624.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,1790.0
108,현대 뉴그랜저XG 3.0 S30 기본형,20.0,183665.0,1.0,1.0,9.7,182.0,27.2,0.0,7.0,0.0,150.0
110,현대 그랜저IG 3.0 LPi  모던,5.0,87000.0,0.0,1.0,7.6,235.0,28.6,0.0,2.0,0.0,1990.0
111,현대 그랜저XG 3.0  Q30 밸류,19.0,22.0,1.0,1.0,9.7,180.0,23.5,0.0,10.0,0.0,160.0
114,현대 더 뉴 그랜저 2.5  프리미엄 초이스,3.0,48018.0,1.0,1.0,11.9,198.0,25.3,0.0,3.0,0.0,2399.0
115,현대 더 뉴 그랜저 2.5  프리미엄 초이스,2.0,57426.0,1.0,1.0,11.9,198.0,25.3,0.0,1.0,0.0,2550.0
119,현대 더 뉴 그랜저 2.5 프리미엄 초이스,2.0,17500.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,2950.0
122,현대 그랜저HG 300 LPi 이그제큐티브,11.0,129000.0,0.0,1.0,8.9,235.0,28.6,0.0,0.0,0.0,1150.0
124,현대 그랜저IG 하이브리드  2.4 HEV 프리미엄   ,6.0,41499.0,1.0,1.0,16.2,199.0,26.7,0.0,0.0,0.0,2449.0
125,현대 그랜저IG 하이브리드  2.4 HEV 익스클루시브  ,5.0,192000.0,1.0,1.0,16.2,199.0,26.7,0.0,0.0,0.0,1630.0
126,현대 그랜저HG  240 럭셔리   ,11.0,214175.0,1.0,1.0,12.8,201.0,25.5,0.0,0.0,0.0,499.0
128,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 모던,5.0,133806.0,2.0,1.0,9.3,175.0,46.0,0.0,0.0,0.0,1490.0
